customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
128,Susan Moore,0odwmqx5@outlook.com,Germany,2023-01-31,Standard,25284.17
129,Richard Moore,9pml9ln1@email.com,India,2023-05-31,Premium,28200.92
130,Jessica Gonzalez,17j8qo09@gmail.com,Sweden,2020-10-03,Standard,427.78
131,Thomas Miller,4a3yjtu7@outlook.com,UK,2020-03-18,Standard,17847.22
132,David Rodriguez,nui3do70@mail.com,Switzerland,2020-12-20,Standard,41302.69
133,William Martin,xb3n27m5@email.com,South Korea,2024-11-12,Premium,43502.35
134,Thomas Martin,xva1nkbt@outlook.com,India,2022-10-25,Basic,11117.78
135,Patricia White,0oqvshko@outlook.com,India,2020-06-18,Standard,28614.89
136,Patricia Moore,ods1eeur@example.com,Norway,2023-06-15,Basic,26259.96
137,Sarah Williams,jpyueong@mail.com,USA,2024-04-25,Standard,8545.84
138,Matthew Martin,32wp7iyf@yahoo.com,UK,2024-02-23,Premium,12228.11
139,Barbara Edwards,3km2kql0@example.com,Spain,2023-01-24,Basic,37542.72
140,Donna Thomas,w9zyn6sj@gmail.com,China,2021-02-15,Basic,30936.44
141,Patricia Anderson,xanj4x5a@email.com,Italy,2022-02-18,Basic,48832.94
142,William Collins,l5tgsq7a@example.com,Sweden,2021-09-16,Standard,24547.65
143,Richard Smith,mmwi9s3w@email.com,USA,2023-02-10,Standard,11356.58
144,Lisa Collins,oe0sy5yp@outlook.com,South Korea,2021-10-01,Basic,16531.31
145,Andrew Brown,het25lzs@outlook.com,South Korea,2024-04-26,Premium,32845.96
146,Richard Hernandez,ctzg4fbl@email.com,South Korea,2021-09-13,Standard,37305.93
147,Karen Brown,2dg1wjui@example.com,Italy,2023-11-08,Premium,18027.14
148,Steven Brown,svzn4reg@gmail.com,South Korea,2024-04-14,Premium,46279.21
149,Donald Davis,091c795r@mail.com,Netherlands,2024-12-22,Premium,21435.03
150,Robert Martin,0nlw0vs5@gmail.com,Sweden,2020-08-11,Standard,22899.33
151,Robert Collins,9so0uswb@company.com,Netherlands,2022-03-26,Standard,38706.48
152,Christopher Anderson,fk7y6qxd@yahoo.com,Germany,2024-05-13,Basic,46898.34
153,Andrew Brown,olaq665d@mail.com,Germany,2024-01-11,Basic,6264.86
154,Linda Harris,qnsn2s8n@email.com,Canada,2024-04-22,Premium,45621.41
155,Barbara Garcia,5gzpl1qw@yahoo.com,France,2021-02-19,Premium,31165.76
156,Charles Smith,q4ta5ivr@email.com,Netherlands,2020-06-11,Basic,30045.1
157,Sarah Collins,twu3bfxb@gmail.com,China,2021-11-09,Premium,2546.67
158,Donald Garcia,fkxzuu80@mail.com,Canada,2020-07-09,Standard,16208.81
159,John Roberts,cptkezjs@example.com,Spain,2023-06-07,Premium,5554.18
160,Emily Williams,ry79kvls@mail.com,France,2023-06-12,Basic,24870.21
161,Kimberly Thomas,35ikgeq2@example.com,South Korea,2022-04-27,Premium,16756.23
162,Donna Perez,wahk2lsl@gmail.com,UK,2023-11-05,Standard,17133.94
163,Mary Roberts,glmy62xr@test.com,Norway,2021-11-17,Standard,39221.05
164,Donald Reeves,04k0lthy@mail.com,Mexico,2020-11-01,Standard,42052.88
165,Lisa Gonzalez,w4uov51z@mail.com,Canada,2021-07-10,Standard,4431.21
166,Sarah Lopez,q8hke226@test.com,Sweden,2020-02-21,Standard,45257.29
167,Barbara Miller,mr5ll1d9@outlook.com,Spain,2024-01-23,Premium,23022.48
168,Emily Jones,a7yvdqbs@company.com,USA,2023-03-28,Standard,31978.66
169,Jessica Hernandez,hkt1yjfe@yahoo.com,Spain,2023-01-16,Standard,27513.35
170,Karen Brown,72ugl6tb@gmail.com,Switzerland,2023-10-15,Premium,5385.75
171,Patricia Williams,pgvv4zwl@example.com,Norway,2020-06-09,Standard,28432.69
172,Jennifer Roberts,2zdlx1q8@outlook.com,Japan,2022-01-14,Standard,9249.32
173,Lisa Perez,4lrcer4k@mail.com,France,2022-11-06,Premium,20343.73
174,William Hernandez,uckqviif@test.com,Australia,2020-05-15,Standard,10491.08
175,Sandra Perez,9umygy0z@test.com,UK,2023-04-27,Basic,23199.13
176,Donna Jones,3g8cd31n@test.com,Canada,2020-07-04,Premium,40869.98
177,James Thompson,fftouhyl@company.com,South Korea,2024-01-10,Standard,49515.43
178,James Martin,9oekntbz@mail.com,UK,2024-10-29,Standard,43297.41
179,Sarah Wilson,zolnntxr@example.com,Norway,2022-02-26,Standard,42014.14
180,Barbara Martinez,9yecazrp@outlook.com,Mexico,2020-10-08,Basic,40316.49
181,Ashley Collins,2vpgstqm@outlook.com,South Korea,2023-05-23,Premium,28939.13
182,Sarah Harris,sotn9uze@test.com,Mexico,2020-10-17,Basic,36591.53
183,Karen Anderson,ssviwxyy@company.com,Canada,2021-12-04,Basic,38948.5
184,Steven Anderson,sq0p82kb@company.com,Japan,2020-05-05,Basic,23710.71
185,Richard Jackson,b93wkcs4@company.com,Japan,2020-09-28,Basic,14120.5
186,Charles Smith,0v60xng2@example.com,Switzerland,2021-01-05,Basic,43114.52
187,Lisa Williams,8v341onx@outlook.com,Spain,2023-03-29,Basic,42107.47
188,Patricia Lee,j3bqrr87@example.com,Australia,2023-10-31,Basic,19564.52
189,Charles Brown,tpk2nlt8@yahoo.com,Norway,2023-07-29,Standard,47813.56
190,Sandra Martin,74mjdxo1@example.com,Spain,2022-11-30,Standard,33918.14
191,Susan Hernandez,ty3addqh@company.com,Japan,2021-01-30,Premium,1282.65
192,Jennifer Johnson,7x48wze4@outlook.com,Australia,2023-09-06,Basic,28346.83
193,Susan Collins,dgkxcq91@mail.com,Japan,2020-11-27,Premium,13936.65
194,Patricia Gonzalez,n9j3gc9h@email.com,Germany,2023-08-14,Standard,5510.68
195,Andrew Thompson,pwdpjbc0@test.com,USA,2022-10-16,Premium,32677.98
196,James Reeves,bofloaz1@test.com,South Korea,2022-04-07,Basic,39068.76
197,Michael Moore,iny2et9m@company.com,Australia,2020-04-23,Basic,49851.09
198,Jennifer Lopez,t8cq1xgb@email.com,Spain,2021-09-04,Basic,19566.23
199,William Lee,yr5pgba9@example.com,Switzerland,2022-03-07,Premium,39657.68
200,Nancy Thomas,t4q9bc2b@yahoo.com,Spain,2024-07-10,Basic,33399.09
201,Ashley White,5t0ic0ra@gmail.com,Italy,2023-12-07,Basic,6613.83
202,Susan Lee,bl2qgv3d@test.com,Italy,2020-05-09,Premium,21367.95
203,Margaret Hernandez,eytl8hbg@yahoo.com,UK,2021-07-14,Premium,37901.75
204,Richard Harris,nfiue2wn@outlook.com,USA,2024-12-06,Standard,4128.06
205,James Garcia,7zvky2re@outlook.com,Japan,2022-12-07,Standard,20660.36
206,Susan Martin,yvzwd3kp@example.com,Spain,2020-08-28,Basic,48841.89
207,Betty Edwards,1th1xjg2@test.com,Switzerland,2020-12-27,Premium,33540.12
208,Robert Johnson,xkpm21b0@outlook.com,Germany,2024-05-27,Premium,24304.56
209,Linda Williams,6zvlhyl2@mail.com,Italy,2020-07-19,Premium,36913.62
210,Joseph Gonzalez,6cvbphvg@mail.com,France,2022-07-26,Basic,9788.33
211,Matthew Rodriguez,heyce4qg@mail.com,Italy,2024-12-20,Standard,30221.44
212,Richard Jackson,84d4r9v4@company.com,USA,2024-02-04,Standard,36835.33
213,Sarah Davis,lu6vfua9@gmail.com,Switzerland,2024-02-11,Basic,1777.67
214,Emily Gonzalez,r23qiua0@example.com,France,2022-01-04,Standard,12029.21
215,Jennifer Smith,rkz40aq1@email.com,Germany,2024-06-05,Standard,31377.87
216,James Edwards,wnytk1zw@example.com,Mexico,2023-06-24,Standard,36814.46
217,Patricia Taylor,8y5dnwng@yahoo.com,Norway,2023-12-23,Premium,7006.45
218,Lisa Davis,tx015z11@mail.com,Brazil,2021-07-01,Basic,34043.31
219,Karen Johnson,cmrsezyt@company.com,Netherlands,2023-06-25,Standard,40015.2
220,Michael Miller,6qc6k8dj@outlook.com,Switzerland,2020-11-04,Premium,26082.31
221,Mary Martinez,oy7rp0ag@gmail.com,Italy,2024-09-05,Basic,32269.13
222,Donald Jackson,mxlvz4qk@outlook.com,China,2020-12-17,Standard,11416.42
223,Betty Martinez,1bmqf7zk@outlook.com,France,2020-11-26,Premium,5934.18
224,Daniel Jackson,ejgublmn@outlook.com,Norway,2021-09-09,Premium,46029.66
225,Margaret Reeves,rfqla09l@company.com,Switzerland,2021-08-16,Basic,33377.7
226,Mark Hernandez,y06ftlo4@test.com,Brazil,2020-07-08,Standard,2846.18
227,Joseph Jackson,s21hd4y8@email.com,Spain,2022-10-01,Standard,30198.28
228,Paul Johnson,6mf4nnkm@test.com,Norway,2020-06-28,Premium,36419.88
229,Mark Martin,92k38p6f@yahoo.com,France,2021-03-01,Standard,23783.2
230,Emily Hernandez,c81do6ou@outlook.com,Spain,2021-01-15,Standard,14544.21
231,Kimberly Johnson,3kvr0i2f@company.com,Switzerland,2020-09-11,Basic,33329.08
232,Christopher Wilson,g6xb1r8v@mail.com,Switzerland,2023-03-04,Standard,43430.46
233,Steven Harris,3n0ajufq@outlook.com,Brazil,2020-11-30,Premium,13706.25
234,Donald Lee,6mkt7s1g@yahoo.com,Germany,2023-01-18,Standard,43634.91
235,Nancy Rodriguez,yydu3asn@test.com,South Korea,2021-11-27,Premium,5210.65
236,Barbara Taylor,hg6w3stt@yahoo.com,South Korea,2022-08-01,Premium,5916.63
237,David Reeves,amyfp9s8@outlook.com,China,2020-02-28,Basic,40747.25
238,Thomas Brown,4fieecy2@yahoo.com,USA,2024-05-05,Standard,37890.97
239,Robert Miller,d2scejcy@yahoo.com,UK,2023-05-17,Premium,29421.39
240,Joseph Garcia,ybf0jum4@example.com,Sweden,2023-03-13,Premium,5045.37
241,James Taylor,hgk6t9dh@test.com,Brazil,2023-11-30,Basic,9337.78
242,William Garcia,49pso1lq@outlook.com,Switzerland,2024-04-10,Standard,35266.07
243,Donna Martin,blekvl9p@email.com,China,2024-10-17,Standard,9520.37
244,Michael Collins,4ryg9rdp@yahoo.com,UK,2020-10-20,Standard,20091.15
245,William Martin,79c9mv9e@email.com,Switzerland,2021-07-24,Basic,38322.01
246,Karen Thompson,2xorvork@test.com,UK,2020-09-07,Standard,24518.13
247,Thomas Lee,7b03ragv@mail.com,France,2021-09-12,Basic,31199.31
248,Michael White,112hxrjm@gmail.com,Canada,2022-05-31,Premium,19243.13
249,Daniel Edwards,nqbu4kzr@outlook.com,China,2024-01-05,Standard,24424.0
250,Linda Jackson,yxyur4so@test.com,Australia,2023-06-17,Basic,17702.91
251,Christopher Hernandez,cven3v1w@email.com,UK,2022-05-26,Standard,49598.08
252,Donald Lopez,ciildy5e@outlook.com,USA,2023-01-07,Standard,1965.14
253,Sandra Jackson,spaqalul@yahoo.com,Switzerland,2020-07-23,Basic,33788.05
254,Lisa Thomas,s1mwnpr4@yahoo.com,Norway,2021-03-14,Standard,13331.24
255,Nancy Jackson,oi0d4dmc@test.com,South Korea,2021-03-05,Standard,39803.02
256,Nancy Taylor,2pthowq1@outlook.com,USA,2023-07-09,Basic,25859.58
257,Susan Jackson,rx37jw34@email.com,Canada,2022-12-05,Premium,18277.31
258,Barbara Davis,fykpl3ch@email.com,Japan,2024-08-13,Standard,32337.53
259,Charles White,voegi3qu@email.com,South Korea,2023-08-17,Premium,10179.33
260,Karen Brown,b2jtxb02@gmail.com,Mexico,2021-10-04,Basic,14969.16
261,Michael Collins,86y5o44i@yahoo.com,Sweden,2023-09-22,Basic,47488.76
262,Emily Rodriguez,rdv1l303@example.com,South Korea,2021-03-22,Premium,5430.02
263,Jessica Rodriguez,pjvrn8lp@example.com,Japan,2024-12-06,Premium,18213.6
264,Betty Roberts,lx6b02b7@example.com,Japan,2023-02-05,Standard,15532.5
265,Betty Collins,3e54n6o9@company.com,China,2020-07-03,Premium,14941.4
266,Richard Reeves,pl3x2jc2@test.com,Switzerland,2024-02-18,Standard,46332.21
267,Lisa Harris,p7dfjcp0@mail.com,Netherlands,2023-11-24,Premium,38122.57
268,Susan Lee,pxahkudi@outlook.com,South Korea,2024-06-11,Standard,22629.35
269,David Rodriguez,gvlkdnon@example.com,USA,2020-02-17,Basic,32390.62
270,Thomas Reeves,dqj4bwvf@mail.com,Germany,2023-03-07,Premium,804.33
271,Emily Wilson,173rih83@company.com,China,2024-03-08,Standard,19165.47
272,Sandra Edwards,hh30gg2b@company.com,Italy,2023-06-19,Standard,45375.68
273,Betty Jackson,yqaelyyz@email.com,Japan,2020-05-29,Premium,27894.3
274,Patricia Hernandez,7qmvy2z3@gmail.com,Japan,2022-10-30,Basic,19108.79
275,Margaret White,n8uujs75@outlook.com,Mexico,2021-10-11,Basic,26568.15
276,Barbara Rodriguez,ebe5407k@company.com,Japan,2022-11-24,Standard,21845.19
277,Richard Hernandez,0r8u7wpg@gmail.com,Italy,2021-01-10,Premium,23565.35
278,Richard Harris,qe6rp9uq@yahoo.com,France,2020-09-10,Standard,4769.54
279,Christopher Garcia,403uxh9a@outlook.com,South Korea,2020-06-06,Premium,38435.85
280,William Collins,lk9en7dl@gmail.com,Mexico,2022-07-31,Basic,33011.01
281,Ashley Lee,8va8x8l0@outlook.com,Spain,2024-11-02,Premium,40097.74
282,Christopher Hernandez,20tvdji1@email.com,Mexico,2020-02-12,Premium,8230.74
283,Margaret Martinez,x8fk2076@outlook.com,Brazil,2023-09-24,Premium,41619.44
284,Paul Miller,r5rup13w@email.com,South Korea,2020-07-09,Premium,25715.74
285,Ashley White,iyfrwskp@test.com,China,2020-10-31,Premium,34247.27
286,Nancy Roberts,iput7sso@test.com,Japan,2021-12-28,Standard,29319.84
287,Paul Smith,exggoc5k@test.com,Netherlands,2023-07-01,Standard,17132.59
288,Susan Miller,g0v5dtae@outlook.com,Switzerland,2022-07-31,Basic,20314.07
289,Kimberly Martinez,w9myyoke@gmail.com,Spain,2020-08-17,Premium,34832.02
290,Joseph Edwards,arfi44td@test.com,France,2022-08-28,Standard,1188.66
291,Richard Collins,fz8q4vhu@email.com,Canada,2021-11-14,Premium,5222.91
292,Sandra Wilson,40vtkrrv@test.com,Italy,2024-01-02,Premium,26462.61
293,Sandra Jackson,lc6prr7m@email.com,USA,2020-11-26,Standard,36337.84
294,Steven Lopez,psvy74zq@company.com,Australia,2022-05-03,Basic,32659.76
295,Betty Perez,r8fhydrg@outlook.com,Switzerland,2020-07-25,Standard,47158.43
296,Kimberly Martinez,iu9mjyg4@gmail.com,Mexico,2021-11-22,Standard,5787.07
297,Thomas Jones,ur9211u6@yahoo.com,Canada,2022-06-15,Standard,48136.09
298,Linda Jones,2v4dusge@example.com,Brazil,2020-11-17,Basic,14676.94
299,Mark Thompson,s0dxme4p@email.com,USA,2021-05-17,Standard,17131.87
300,Paul Garcia,dn1mxf1p@example.com,France,2024-06-30,Standard,20729.13
301,Donald Collins,q42nbfa3@yahoo.com,Mexico,2021-11-23,Standard,20142.38
302,Richard Wilson,c1xx6cwz@company.com,South Korea,2022-04-03,Basic,35069.44
303,Nancy Martin,06akt7zq@example.com,Norway,2023-07-02,Basic,32636.65
304,Matthew Collins,3x15dtoz@outlook.com,Sweden,2023-01-12,Standard,10765.35
305,Paul Moore,lmwa6tj3@company.com,South Korea,2022-10-31,Premium,36626.11
306,Betty Rodriguez,wmbxek0q@example.com,Norway,2024-09-25,Basic,11768.51
307,Nancy Martinez,y3ufn0ds@example.com,Brazil,2022-07-19,Premium,7413.01
308,Sandra Roberts,odpehcyo@email.com,Japan,2023-04-11,Standard,31859.41
309,Mark Harris,7r93feze@yahoo.com,Spain,2022-07-21,Standard,1727.11
310,Richard Moore,n8voeubf@mail.com,China,2022-02-05,Standard,14769.67
311,Mary Perez,f2p7kkg0@gmail.com,UK,2023-01-26,Standard,3471.47
312,Robert Wilson,rlqmn44e@outlook.com,Sweden,2023-07-27,Standard,38107.77
313,Mark Brown,5l2xoiot@test.com,Japan,2023-08-15,Premium,43311.08
314,Mary Jackson,w1lxxd8t@gmail.com,Sweden,2021-01-22,Standard,25181.68
315,Mary Jones,xt8jh34u@yahoo.com,Norway,2023-05-27,Standard,20149.71
316,Robert Thomas,5apo4lje@yahoo.com,Norway,2020-12-10,Standard,7287.31
317,Charles Thompson,dlogwlac@email.com,UK,2021-10-17,Premium,20699.86
318,Daniel Rodriguez,n3eh1vr1@email.com,UK,2021-07-05,Premium,15984.99
319,Donna Wilson,cbw6atvd@outlook.com,China,2023-03-09,Standard,22354.51
320,Paul Miller,2ftgi88t@gmail.com,USA,2024-07-22,Standard,48059.61
321,Christopher Lee,8a7rv4nm@example.com,Sweden,2021-07-30,Premium,8154.67
322,Andrew Jackson,cdz3095h@mail.com,India,2023-07-24,Standard,48984.05
323,Mark Rodriguez,i9mqvayx@gmail.com,Switzerland,2020-01-09,Premium,33668.05
324,Donald Moore,6z1t2xcb@test.com,UK,2021-12-23,Standard,41390.6
